Years,Key highlight 1,Key highlight 2,Key highlight 3,Key highlight 4,Key highlight 5,People,Person Photo,Places
1600-1750,Ship,,,,,,,Bengal
1600,EIC,Traders,,,,,,
1600-1757,Textile,Silk,,,,,,Bengal
1600,Silk,Spices,,,,Queen Elizabeth I,QueenelizabethI.jpg,
1600,GDP,,,,,,,"Britain, India"
1613,Textile,,,,,,,Masulipatnam
1613-1614,Textile,,,,,William Hawkins,William-Hawkins.jpg,Surat
,,,,,,,,
1615-1618,Traders,,,,,,,
1615,Ruler,,,,,"Sir Thomas Roe, Mughal Emperor Jehangir","Sirthomasroe.jpg, Jahangir.jpeg",
1618,Traders,,,,,,,
1618-1707,Revenue,Tax,Income,,,"Mughal Emperor Aurangzeb, Louis XIV","LouisXIV.jpg, Aurangzeb.jpg",
1664,Newspaper & Press,,,,,,,Bombay
1674-1818,Ruler,,,,,,,
1700,GDP,,,,,,,Europe
1700,GDP,Ruler,,,,Mughal Emperor Aurangzeb,Aurangzeb.jpg,
1700,Revenue,Ruler,Tax,Income,,Mughal Emperor Aurangzeb,Aurangzeb.jpg,
1700,GDP,,,,,,,"India, Britain"
1702,Diamond,Export,Loot,,,"Thomas Pitt, Duc d’Orléans","Thomaspitt.jpg, Philippe_d'Orléans,_Duke_of_Orléans.png","Madras, France"
1702,Diamond,Export,Loot,,,Thomas Pitt,Thomaspitt.jpg,Britain
1707,Revenue,Tax,Income,,,,,
1717,Diamond,Loot,,,,"Thomas Pitt, Duc d’Orléans","Thomaspitt.jpg, Philippe_d'Orléans,_Duke_of_Orléans.png","Madras, France"
1721,Masscare,Ruler,,,,,,"Britain, Nair"
1739,Loot,Ruler,,,,Persian Nadir Shah,NaderShah.jpg,"Delhi, Persia"
1746-1763,War,,,,,,,"Britain, French, Europe"
1750-1800,Textile,Export,,,,,,"Bengal, Egypt, Turkey, Persia, Ava, China, Japan, Europe"
1750,World Economy,,,,,,,"India, China"
1750,Economy,Income,,,,,,"India, Britain"
1600-1750,Ship,,,,,,,
1751,Battle,,,,,,,Tamil Nadu
,,,,,,,,
1600-1753,Silk,Export,,,,,,Bengal
,,,,,,,,
